Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFB64	C1CCCCCCC2CC2CC(CCC2CCCC2)CCCCC1	1	1.0
SCAFFB65	C1CCC(CC2CCC3CCCC32)CC1	3	1.0
SCAFFB66	C1CCC(CCC2CC3CCCCC3C2)CC1	1	1.33333333
SCAFFB67	C1CCC(CCC2CCC(CC3CCCC4CCC(C5CCCC5)CC43)CC2)CC1	1	1.0
SCAFFB68	C1CCC(C(C2CCCCC2)C2CCCC2)CC1	54	1.0
SCAFFB69	C1CCCCC(CCCCC2CCCCC2)CCCCC2CCC3CCCCCCCC(CCCCCC(CC4CCCCC4)CC2)CCCCC(CCC1)CCCCCC1CCCC1CCCC3	47	1.0
SCAFFB70	C(CCCCCCCCCCCCCC(CCCCCCCCCCC1CCC2CCCCC12)CC1CCCCC1)CCCCCCCCCCCCC(CCCCCCCCCCCCCCCCCCCCC(CCCCCCCCCCCCCCCCC1CCCC1)CC1CCCCC1)CC1CCCCC1	3	1.0
SCAFFB71	C(CCCC1CCCC1)CCC1CCCCC1	2	1.0
SCAFFB72	C1CCC(CC2CCC(C3CCCCC3C3CCCC3)CC2)C1	4	1.0
SCAFFB73	C1CCC(CCC(CCC2C3CCC2CC(C2CCCC2)C3)C2CCCCC2)CC1	21	1.0
SCAFFB74	C1CCC(CCC2CCC3CCCCC3C2)CC1	1	1.5
SCAFFB75	C1CC2CC3C(CC4CC4)CCC45C(CCCC34)CC(C1)C25	67	1.16666667
SCAFFB76	C1CCC(C2CC2)CC1	4	1.16666667
SCAFFB77	C1CCC2C(C1)CC1CCCCC1C1CCCCC21	5	1.0
SCAFFB78	C(CCCC1CCCCC1C1CCCCC1)CCC1CCCCC1	2	1.0
SCAFFB79	C1CCC(C2CC3CCCCC3CC3CCCC32)CC1	5	1.0
SCAFFB80	C1CCC(CC2CCC3CC4CCCCC4C3C2)C1	7	1.08333333
SCAFFB81	C1CCCCCC(CC2CCCCC2)CCCCCCCC(CC2CCCC2)CCCCC1	2	1.0
SCAFFB82	C1CCC(CCC(CCCC2CC3CCC4CCC5CCC5C4C(CCC4CCCCC4)C(C2)C3)C2CCCCC2)CC1	66	1.0
SCAFFB83	C1CCC(CC2CCCC(CC3CCC4CCCC4C3)C2)CC1	1	1.0
SCAFFB84	C1CCC(C2CC(C3CCCCC3)CC(C3CCCCC3)C2)CC1	5	1.0
